"","sample","lib","coverage","ctrl_cover","all","mapped","controls","mapped_other_lib","unmapped","unmapped_bad_len"
"105","O-2-1-1-1_S17","Odd",60.3125100472623,82.1428571428571,2039950,1771281,6554,0,176056,25466
"106","O-2-1-1-2_S21","Odd",64.8972767900203,85.7142857142857,2260683,1958995,7420,0,200381,28893
"107","O-2-1-2-1_S18","Odd",68.2474359386554,85.7142857142857,2095438,1836156,5610,62,170541,29949
"108","O-2-1-2-2_S22","Odd",75.6679419991641,85.7142857142857,2519889,2196749,6223,79,216305,36946
"109","O-2-1-3-1_S19","Odd",74.0957463910234,85.7142857142857,2246878,1978276,2658,124,176558,21459
"110","O-2-1-3-2_S23","Odd",69.8517827862264,85.7142857142857,1930415,1707609,2289,164,144337,18268
"111","O-2-1-4-1_S20","Odd",66.8424267755522,78.5714285714286,2412075,2100834,2082,251,216576,18102
"112","O-2-1-4-2_S24","Odd",68.999774941324,78.5714285714286,2283667,2000499,2330,336,193247,16275
"113","O-2-2-1-1_S25","Odd",48.5708774073241,78.5714285714286,1563626,1368619,5344,0,121941,17637
"114","O-2-2-1-2_S29","Odd",62.0165257370672,82.1428571428571,2342617,2017868,7432,0,218922,32036
"115","O-2-2-2-1_S26","Odd",65.3827605054175,82.1428571428571,2214369,1924125,5837,0,193055,35583
"116","O-2-2-2-2_S30","Odd",64.0131177056875,82.1428571428571,2003591,1752881,5282,0,164691,29274
"117","O-2-2-3-1_S27","Odd",65.6399704208597,85.7142857142857,1893448,1673001,1702,0,141392,17098
"118","O-2-2-3-2_S31","Odd",59.357618236183,82.1428571428571,1541170,1373405,1581,0,103759,12312
"119","O-2-2-4-1_S28","Odd",65.7139182715494,82.1428571428571,2075903,1823725,1807,63,169713,13451
"120","O-2-2-4-2_S32","Odd",69.8871491495997,85.7142857142857,2513148,2184404,2148,75,227373,19299
"121","O-3-1-1-1_S33","Odd",58.206603864579,82.1428571428571,1753969,1532012,5018,0,139592,20538
"122","O-3-1-1-2_S37","Odd",44.7062984278044,75,1174571,1045871,3875,0,75459,10245
"123","O-3-1-2-1_S34","Odd",52.4225958910716,82.1428571428571,1197625,1073986,3420,0,73291,11999
"124","O-3-1-2-2_S38","Odd",72.0091309519982,85.7142857142857,2170043,1903465,5322,0,174046,28156
"125","O-3-1-3-1_S35","Odd",73.2823200334373,85.7142857142857,2008356,1775837,2128,0,147663,15845
"126","O-3-1-3-2_S39","Odd",72.9575925151915,82.1428571428571,2106775,1863206,2383,0,159479,18254
"127","O-3-1-4-1_S36","Odd",63.5372793621194,75,2158933,1883156,1732,0,189609,16334
"128","O-3-1-4-2_S40","Odd",64.067774812719,82.1428571428571,1982916,1745424,1890,28,159466,12906
"129","O-3-2-1-1_S41","Odd",55.9206507410861,82.1428571428571,1570385,1391490,4591,472,110955,15121
"130","O-3-2-1-2_S45","Odd",60.1774748416551,85.7142857142857,1754940,1542411,5088,620,134327,18620
"131","O-3-2-2-1_S42","Odd",72.9929588785648,85.7142857142857,2118802,1872960,5134,0,162187,25363
"132","O-3-2-2-2_S46","Odd",68.8454489920586,82.1428571428571,1814809,1613300,4879,219,127309,19897
"133","O-3-2-3-1_S43","Odd",70.2215220396746,85.7142857142857,1810055,1614679,1991,67,123707,12976
"134","O-3-2-3-2_S47","Odd",75.2178246471401,85.7142857142857,2089016,1854992,2401,62,152467,16513
"135","O-3-2-4-1_S44","Odd",57.0845256084622,78.5714285714286,1623592,1436877,1545,59,124023,8782
"136","O-3-2-4-2_S48","Odd",65.3827605054175,85.7142857142857,2099433,1842705,2057,28,175427,14292
