file,lib,gate,bio_rep,facs_rep,tech_rep,seq,facs,,,,,,,,,
CT-3-1-4-1_S44,CT,4,3,1,1,05-sep,07-jun,Fia wrote tech_rep 2,,,,,,,,
CT-3-1-4-2_S48,CT,4,3,1,2,05-sep,07-jun,Not in Fia's list,,,,,,,,
CT-3-2-1-1_S49,CT,1,3,2,1,05-sep,07-jun,,,,,,,,,
CT-3-2-1-2_S53,CT,1,3,2,2,05-sep,07-jun,,,,,,,,,
CT-3-2-2-1_S50,CT,2,3,2,1,05-sep,07-jun,,,,,,,,,
CT-3-2-2-2_S54,CT,2,3,2,2,05-sep,07-jun,,,,,,,,,
CT-3-2-3-1_S51,CT,3,3,2,1,05-sep,07-jun,,,,,,,,,
CT-3-2-3-2_S55,CT,3,3,2,2,05-sep,07-jun,,,,,,,,,
CT-3-2-4-1_S52,CT,4,3,2,1,05-sep,07-jun,,,,,,,,,
CT-3-2-4-2_S56,CT,4,3,2,2,05-sep,07-jun,,,,,,,,,
E-1-1-1-1_S49,Even,1,1,1,1,17-aug,15-maj,,,,,,,,,
E-1-1-1-2_S53,Even,1,1,1,2,17-aug,15-maj,,,,,,,,,
E-1-1-2-1_S50,Even,2,1,1,1,17-aug,15-maj,,,,,,,,,
E-1-1-2-2_S54,Even,2,1,1,2,17-aug,15-maj,,,,,,,,,
E-1-1-3-1_S51,Even,3,1,1,1,17-aug,15-maj,,,,,,,,,
E-1-1-3-2_S55,Even,3,1,1,2,17-aug,15-maj,,,,,,,,,
E-1-1-4-1_S52,Even,4,1,1,1,17-aug,15-maj,,,,,,,,,
E-1-1-4-2_S56,Even,4,1,1,2,17-aug,15-maj,,,,,,,,,
E-1-2-1-1_S57,Even,1,1,2,1,17-aug,15-maj,,,,,,,,,
E-1-2-1-2_S61,Even,1,1,2,2,17-aug,15-maj,,,,,,,,,
E-1-2-2-1_S58,Even,2,1,2,1,17-aug,15-maj,,,,,,,,,
E-1-2-2-2_S62,Even,2,1,2,2,17-aug,15-maj,,,,,,,,,
E-1-2-3-1_S59,Even,3,1,2,1,17-aug,15-maj,,,,,,,,,
E-1-2-3-2_S63,Even,3,1,2,2,17-aug,15-maj,,,,,,,,,
E-1-2-4-1_S60,Even,4,1,2,1,17-aug,15-maj,,,,,,,,,
E-1-2-4-2_S64,Even,4,1,2,2,17-aug,15-maj,,,,,,,,,
E-2-1-1-1_S65,Even,1,2,1,1,17-aug,15-maj,,,,,,,,,
E-2-1-1-2_S69,Even,1,2,1,2,17-aug,15-maj,,,,,,,,,
E-2-1-2-1_S66,Even,2,2,1,1,17-aug,15-maj,,,,,,,,,
E-2-1-2-2_S70,Even,2,2,1,2,17-aug,15-maj,,,,,,,,,
E-2-1-3-1_S67,Even,3,2,1,1,17-aug,15-maj,,,,,,,,,
E-2-1-3-2_S71,Even,3,2,1,2,17-aug,15-maj,,,,,,,,,
E-2-1-4-1_S68,Even,4,2,1,1,17-aug,15-maj,,,,,,,,,
E-2-1-4-2_S72,Even,4,2,1,2,17-aug,15-maj,,,,,,,,,
E-2-2-1-1_S73,Even,1,2,2,1,17-aug,15-maj,,,,,,,,,
E-2-2-1-2_S77,Even,1,2,2,2,17-aug,15-maj,,,,,,,,,
E-2-2-2-1_S74,Even,2,2,2,1,17-aug,15-maj,,,,,,,,,
E-2-2-2-2_S78,Even,2,2,2,2,17-aug,15-maj,,,,,,,,,
E-2-2-3-1_S75,Even,3,2,2,1,17-aug,15-maj,,,,,,,,,
E-2-2-3-2_S79,Even,3,2,2,2,17-aug,15-maj,,,,,,,,,
E-2-2-4-1_S76,Even,4,2,2,1,17-aug,15-maj,,,,,,,,,
E-2-2-4-2_S80,Even,4,2,2,2,17-aug,15-maj,,,,,,,,,
E-3-1-1-1_S1,Even,1,3,1,1,05-sep,16-maj,,,,,,,,,
E-3-1-1-2_S5,Even,1,3,1,2,05-sep,16-maj,,,,,,,,,
E-3-1-2-1_S2,Even,2,3,1,1,05-sep,16-maj,,,,,,,,,
E-3-1-2-2_S6,Even,2,3,1,2,05-sep,16-maj,,,,,,,,,
E-3-1-3-1_S3,Even,3,3,1,1,05-sep,16-maj,,,,,,,,,
E-3-1-3-2_S7,Even,3,3,1,2,05-sep,16-maj,,,,,,,,,
E-3-1-4-1_S4,Even,4,3,1,1,05-sep,16-maj,,,,,,,,,
E-3-1-4-2_S8,Even,4,3,1,2,05-sep,16-maj,,,,,,,,,
E-3-2-1-1_S9,Even,1,3,2,1,05-sep,16-maj,,,,,,,,,
E-3-2-1-2_S13,Even,1,3,2,2,05-sep,16-maj,,,,,,,,,
E-3-2-2-1_S10,Even,2,3,2,1,05-sep,16-maj,,,,,,,,,
E-3-2-2-2_S14,Even,2,3,2,2,05-sep,16-maj,,,,,,,,,
E-3-2-3-1_S11,Even,3,3,2,1,05-sep,16-maj,,,,,,,,,
E-3-2-3-2_S15,Even,3,3,2,2,05-sep,16-maj,,,,,,,,,
E-3-2-4-1_S12,Even,4,3,2,1,05-sep,16-maj,,,,,,,,,
E-3-2-4-2_S16,Even,4,3,2,2,05-sep,16-maj,,,,,,,,,
O-1-1-1-1_S1,Odd,1,1,1,1,17-aug,04-maj,,,,,,,,,
O-1-1-1-2_S5,Odd,1,1,1,2,17-aug,04-maj,,,,,,,,,
O-1-1-2-1_S2,Odd,2,1,1,1,17-aug,04-maj,,,,,,,,,
O-1-1-2-2_S6,Odd,2,1,1,2,17-aug,04-maj,,,,,,,,,
O-1-1-3-1_S3,Odd,3,1,1,1,17-aug,04-maj,,,,,,,,,
O-1-1-3-2_S7,Odd,3,1,1,2,17-aug,04-maj,,,,,,,,,
O-1-1-4-1_S4,Odd,4,1,1,1,17-aug,04-maj,,,,,,,,,
O-1-1-4-2_S8,Odd,4,1,1,2,17-aug,04-maj,,,,,,,,,
O-1-2-1-1_S9,Odd,1,1,2,1,17-aug,04-maj,,,,,,,,,
O-1-2-1-2_S13,Odd,1,1,2,2,17-aug,04-maj,,,,,,,,,
O-1-2-2-1_S10,Odd,2,1,2,1,17-aug,04-maj,,,,,,,,,
O-1-2-2-2_S14,Odd,2,1,2,2,17-aug,04-maj,,,,,,,,,
O-1-2-3-1_S11,Odd,3,1,2,1,17-aug,04-maj,,,,,,,,,
O-1-2-3-2_S15,Odd,3,1,2,2,17-aug,04-maj,,,,,,,,,
O-1-2-4-1_S12,Odd,4,1,2,1,17-aug,04-maj,,,,,,,,,
O-1-2-4-2_S16,Odd,4,1,2,2,17-aug,04-maj,,,,,,,,,
O-2-1-1-1_S17,Odd,1,2,1,1,17-aug,08-maj,,,,,,,,,
O-2-1-1-2_S21,Odd,1,2,1,2,17-aug,08-maj,,,,,,,,,
O-2-1-2-1_S18,Odd,2,2,1,1,17-aug,08-maj,,,,,,,,,
O-2-1-2-2_S22,Odd,2,2,1,2,17-aug,08-maj,,,,,,,,,
O-2-1-3-1_S19,Odd,3,2,1,1,17-aug,08-maj,,,,,,,,,
O-2-1-3-2_S23,Odd,3,2,1,2,17-aug,08-maj,,,,,,,,,
O-2-1-4-1_S20,Odd,4,2,1,1,17-aug,08-maj,,,,,,,,,
O-2-1-4-2_S24,Odd,4,2,1,2,17-aug,08-maj,,,,,,,,,
O-2-2-1-1_S25,Odd,1,2,2,1,17-aug,08-maj,,,,,,,,,
O-2-2-1-2_S29,Odd,1,2,2,2,17-aug,08-maj,,,,,,,,,
O-2-2-2-1_S26,Odd,2,2,2,1,17-aug,08-maj,,,,,,,,,
O-2-2-2-2_S30,Odd,2,2,2,2,17-aug,08-maj,,,,,,,,,
O-2-2-3-1_S27,Odd,3,2,2,1,17-aug,08-maj,,,,,,,,,
O-2-2-3-2_S31,Odd,3,2,2,2,17-aug,08-maj,,,,,,,,,
O-2-2-4-1_S28,Odd,4,2,2,1,17-aug,08-maj,,,,,,,,,
O-2-2-4-2_S32,Odd,4,2,2,2,17-aug,08-maj,,,,,,,,,
O-3-1-1-1_S33,Odd,1,3,1,1,17-aug,09-maj,,,,,,,,,
O-3-1-1-2_S37,Odd,1,3,1,2,17-aug,09-maj,,,,,,,,,
O-3-1-2-1_S34,Odd,2,3,1,1,17-aug,09-maj,,,,,,,,,
O-3-1-2-2_S38,Odd,2,3,1,2,17-aug,09-maj,,,,,,,,,
O-3-1-3-1_S35,Odd,3,3,1,1,17-aug,09-maj,,,,,,,,,
O-3-1-3-2_S39,Odd,3,3,1,2,17-aug,09-maj,,,,,,,,,
O-3-1-4-1_S36,Odd,4,3,1,1,17-aug,09-maj,,,,,,,,,
O-3-1-4-2_S40,Odd,4,3,1,2,17-aug,09-maj,,,,,,,,,
O-3-2-1-1_S41,Odd,1,3,2,1,17-aug,09-maj,,,,,,,,,
O-3-2-1-2_S45,Odd,1,3,2,2,17-aug,09-maj,,,,,,,,,
O-3-2-2-1_S42,Odd,2,3,2,1,17-aug,09-maj,,,,,,,,,
O-3-2-2-2_S46,Odd,2,3,2,2,17-aug,09-maj,,,,,,,,,
O-3-2-3-1_S43,Odd,3,3,2,1,17-aug,09-maj,,,,,,,,,
O-3-2-3-2_S47,Odd,3,3,2,2,17-aug,09-maj,,,,,,,,,
O-3-2-4-1_S44,Odd,4,3,2,1,17-aug,09-maj,,,,,,,,,
O-3-2-4-2_S48,Odd,4,3,2,2,17-aug,09-maj,,,,,,,,,
